,inputs,targets,language,language_code,annotation_type,user_id
504,"Tirana mooy gëblag man réew?
","Tirana mooy gëblag réewum Albanie.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
505,Joxeel péeteg waat yi ci kàddu gii: Ndàx da ñoo gìsul ne moom manut a wàx ak ñoom te du léen jubale ci'w yoon?,"Waat yi nekk ci kàddu gii di ""Ndàx da ñoo gìsul ne moom manut a wàx ak ñoom te du léen jubale ci'w yoon?"" ak séen i péete ñoo di:
Ndàx: ADV
da: AUX
ñu: PRON
a: AUX
gìsul: VERB
ne: SCONJ
moom: PRON
manut: VERB
a: PART
wàx: VERB
ak: ADP
ñoom: PRON
te: CCONJ
du: AUX
léen: PRON
jubale: VERB
ci: ADP
'w: DET
yoon: NOUN
?: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
506,"Ndàx mbind mii jub na?
Moom mi def suuf nekk laltaay ci yéen, asamaan si di seen téeg; te mu wàcceel leen ndox mu jóge asamaan, génne ca ay meññeent yu mu leen wërsëgal, bu leen sàkkal Yàlla moroom te xam xéll [ne loolu jaaduwul].","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Moom mi def sùuf nekk làltaay ci yéen, àsamaan si di séen téeg; te mu wàcceel léen ndox mu jóge àsamaan, génne ca ay meññeent yu mu léen wërsagal, buléen sàkkal Yàlla moroom te xàm xéll [ne loolu jaaduwul].",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
507,"Ci ban kembaar la réwum Arabie Saoudite nékk
",Réwum Arabie Saoudite mu ngi nékk ci kembaar bi ñuy wakh Asie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
508,"Fan moy péeyum réwum Croatie
","Péeyum réwum Croatie mu ngi tudu Zagreb
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
509,"Tegucigalpa moy péeyu ban réw?
","Tegucigalpa moy péeyu réwum Honduras
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
510,Indil péeteg waat yi ci kàddu gii: Sëriñ Seexunaa Abdul Waduud.,"Waat yi nekk ci kàddu gii di ""Sëriñ Seexunaa Abdul Waduud."" ak séen i péete ñoo di:
Sëriñ: PROPN
Seexunaa: PROPN
Abdul: PROPN
Waduud: PROPN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
511,"Ndàx mbind mii jub na?
Ndegam nag ànduma woon ak mekanise mbaa ma yobbale kenn, may waaj, lu naroon a jafe nag, jeem koo defarat man doŋŋ.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Ndegam nag àndu ma woon ak mekanise mbaa ma yobbaale kenn, ma'y waaj, lu naroon a jafe nag, jéem koo defaraat màn doŋŋ.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
512,Dama soxla layalkay.,I need a lawyer.	,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
513,"Palikir mooy gëblag  Man réew?
","Palikir mooy gëblag  réewum Micronésie.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
514,"Ndàx mbind mii jub na?
- Waxal ne: ""Ndegam am ngeen kërug àllaaxira ca Yàlla, gu yéen doŋŋ jagoo waliis nit ñi, mébétleen dee kon ndegam ñu dëggu ngeen! ""","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
- Wàxal ne: ""Ndegam àm ngéen kërug àllaaxira ca Yàlla, gu yéen doŋŋ jagoo waliis nit ñi, mébetléen dee kon ndegam ñu dëggu ngéen!""",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
515,"Ankara mooy gëblag man réew?
","Ankara mooy gëblag réewum Turquie.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
516,Yan ñaari réew a ëpp ay jullit ?,Indonosi ak Ind.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
517,"Douchanbe mooy gëblag man réew?
","Douchanbe mooy gëblag réewum Tadjikistan.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
518,"Maputo mooy gëblag man réew?
","Maputo mooy gëblag réewum Mozambique.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
519,"Fann mooy péeyum réewum Bosnie-Herzégovine
","Péeyum réewum Bosnie-Herzégovine moo ngi tuddu Sarajevo
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
520,"Ci ban kembaar la réwum Oman nékk
",Réwum Oman mu ngi nékk ci kembaar bi ñuy wakh Asie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
521,"Jubbantil mbind mii:
Ñu wax ne ko: ""Yaw Aadama dëkkal ci àjjana yaak sa soxna, ngeen di fa lekkee na mu leen neexee, ca fa mu leen soobee; te bu leen jege garab gile: kon dey ngeen bokk ci way-tooñ ña"".","Mbind mi jub a ngi nii:
Ñu wàx ne ko: ""Yaw Aadama dëkkal ci àjjana yaa'k sa soxna, ngéen di fa lekke na mu léen neexe, ca fa mu léen soobe; te buléen jege garab gile: kon dey ngéen bokk ci waytooñ ña"".",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
522,Ci gan kembaar la réewum Burkina Faso nekk ?,Réewum Burkina Faso mu ngi nekk ci kembaaru Afrique.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
523,"Ci ban kembaar la réwum Islande nékk
",Réwum Islande mu ngi nékk ci kembaar bi ñuy wakh Europe,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
524,Ku bind Don Quichotte ?,Miguel de Cervantes.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
525,"Ndàx mbind mii jub na?
[Fàttalikuleen] Ba ngeen reyee bakkan te ngeen jiiñante ko!... Te Yàlla génne la ngeen doon nëbb.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
[Fàttlikuléen] Ba ngéen rayee bakkan te ngéen jiiñante ko!... Te Yàlla génne la ngéen doon nëbb.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
526,"Joxeel péeteg waat yi ci kàddu gii: Ci dëkk bu tudd Baari, ca Bàmbay, jenn waay moo doon jéem a jam paaka Sëriñ Maam Bàlla Mbàkke yilimaan ca ba mu'y julli jullig tabaski gii.","Waat yi nekk ci kàddu gii di ""Ci dëkk bu tudd Baari, ca Bàmbay, jenn waay moo doon jéem a jam paaka Sëriñ Maam Bàlla Mbàkke yilimaan ca ba mu'y julli jullig tabaski gii."" ak séen i péete ñoo di:
Ci: ADP
dëkk: NOUN
bu: PRON
tudd: VERB
Baari: PROPN
,: PUNCT
ca: ADP
Bàmbay: PROPN
,: PUNCT
jenn: DET
waay: NOUN
mu: PRON
a: AUX
doon: AUX
jéem: VERB
a: PART
jam: VERB
paaka: NOUN
Sëriñ: PROPN
Maam: PROPN
Bàlla: PROPN
Mbàkke: PROPN
yilimaan: NOUN
ca: ADP
ba: SCONJ
mu: PRON
'y: AUX
julli: VERB
jullig: NOUN
tabaski: NOUN
gii: DET
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
527,Indil péeteg waat yi ci kàddu gii: Farayaŋas ya ak waapéncum Riisi digalees na léen ñu bàyyi daamar i tugal te'y jëfandikoo daamar ya ñu defare ca réew ma.,"Waat yi nekk ci kàddu gii di ""Farayaŋas ya ak waapéncum Riisi digalees na léen ñu bàyyi daamar i tugal te'y jëfandikoo daamar ya ñu defare ca réew ma."" ak séen i péete ñoo di:
Farayaŋas: NOUN
ya: DET
ak: CCONJ
waapéncum: NOUN
Riisi: PROPN
digalees: VERB
na: AUX
léen: PRON
ñu: PRON
bàyyi: VERB
daamar: NOUN
i: ADP
tugal: NOUN
te: CCONJ
'y: AUX
jëfandikoo: VERB
daamar: NOUN
ya: DET
ñu: PRON
defare: VERB
ca: ADP
réew: NOUN
ma: DET
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
528,"Beqil ma mbind mii:
Xanaa gisuleen li ngeen di ruuj ?","Mbind mi jub a ngi nii:
Xànaa gìsu léen li ngéen di rùuj?",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
529,"Beqil ma mbind mii:
Nu ne: ""Dóorleen ko lenn [Lu bokk ci nag wi]"". - Noonu la Yàllay dekkalee ñi dee te dana leen won ay kéemaan ndax ngeen xel-lu.","Mbind mi jub a ngi nii:
Nu ne: ""Dóorléen ko lenn [Lu bokk ci nag wi]"". - Noonu la Yàllay dekkalee ñi dee te da na léen wan ay kéemaan ndàx ngéen xellu.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
530,Kan moy sa xarit ?,ki mooy sama xarit.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
531,Indil péeteg waat yi ci kàddu gii: Furtaagalléen ñi ngéen tëye ngìr politig.,"Waat yi nekk ci kàddu gii di ""Furtaagalléen ñi ngéen tëye ngìr politig."" ak séen i péete ñoo di:
Furtaagalléen: VERB
ñi: PRON
ngéen: PRON
tëye: VERB
ngìr: ADP
politig: NOUN
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
532,"Ci gan kembaar la réewum Panama nekk ?
",Réewum Panama mu ngi nekk ci kembaaru Amerique.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
533,"Ñaata fàn a àm ci ày-u-bis bi?
","Ag ày-u-bis 7 fan la: altine, talaat, àllarba, alxames, àjjuma, gaawu ak dibeer.
Ày-u-bis gi, lees di wàx; baat u toggatle la. Bàril gi ày-i-bis yi. Boo nee ay u bis bi nag, da'y tekki rekk dellusig benn bis.

Li ëpp ci tur u bis yi ci araab la jóge ndàx tur i Wolof yi da ñoo réer.
",Wolof,wol,re-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
534,"Fan mooy gëblag réewum Séworsi ?
","Gëblag réewum Séworsi mu ngi tudd Tbilisi.
",Wolof,wol,re-annotations,5951fff854f877a1823529fc18862e2985cff959cfac93222be1a50fcb4d2818
535,"Fan moy péeyum réwum Sainte-Lucie
",Péeyum réwum Sainte-Lucie mu ngi tudu Castries,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
536,"Saint-Marin mooy gëblag man réew ?
","Saint-Marin mooy gëblag réewum Saint-Marin.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
537,"Sarajevo mooy gëblag ban réew?
","Sarajevo moy péeyu réewum Bosnie-Herzégovine.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
538,Nu Wolof di woohe bis yi?,"Nii la Wolof tudde bis yi:
- Àltine (Monday)
- Talaata (Tuesday)
- Àllarba (Wednesday)
- Alxemes (Thursday)
- Àjjuma (Friday)
- Gaawu (Saturday)
- Dibeer (Sunday)
Àm na ci yoy, ci Araab lees ko àbbe ndàx tur i cosaan yi da ñoo réer.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
539,"Moroni mooy péeyu bann réew?
","Moroni mooy péeyu réewum Comores
",Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
540,"Léegi
",now	,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
541,"Fan mooy gëblag réewum Nauru?
","Gëblag réewum Nauru mu ngi tudd Yaren.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
542,"Damas mooy péeyu bann réew?
","Damas mooy péeyu réewum Syrie
",Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
543,"Bissau moy péeyu ban réw?
","Bissau moy péeyu réwum Guinée-Bissau
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
544,"Ndàx mbind mii jub na?
Naka ngeen di weddee Yàlla te ngeen doonoon ñu dee, Mu dundal leen? Dana leen rey; dana leen dekkalaat ngeen dellu ca Moom.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
Naka ngéen di wedde Yàlla te ngéen doonoon ñu dee, Mu dundal léen? Da na léen ray; da na léen dekkalaat ngéen dellu ca Moom.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
545,Fann mooy péeyum réewum Iles Cook,Avarua,Wolof,wol,original-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
546,"Suva mooy péeyu man réew?
","Suva mooy gëblag réewum Fidji.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
547,Ban xaaliss lañuy jëfëndiko ci reewum Senegaal ?,Xaalissu FCFA (XOF),Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
548,"Ndàx man ngaa jubbanti mbind mii?
Ña weddi te fenloo Sunuy tegtal, ñoom ñooy dëkk Safara te ñoom dañu fay béel.","Waaw! Mi ngii:
Ña weddi te fenloo Sunu'y tegtal, ñoom ñoo'y dëkk Safara te ñoom da ñu fa'y béel.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
549,"Ci ban kembaar la réwum Nauru nékk
",Réwum Nauru mu ngi nékk ci kembaar bi ñuy wakh Oceanie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
550,"Fan mooy gëblag réewum République Tchèque?
","
Gëblag réewum République Tchèque mu ngi tudd Prague.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
551,"Ndàx man ngaa jubbanti mbind mii?
Topp, seeni xol wow ginnaaw loolu [dëgër] ba mel ni xeer mbaa lu ko gën a tar wowaay; Ndax ci xeer sax ndox dana ca ball, te am na ci xeer yi yuy xar ndox génn ca, am na ci yuy rot ngir ragal Yàlla. Te Yàlla du ñàkk a seetlu li ngeen di def.","Waaw! Mi ngii:
Topp, séen i xol waw ginnaaw loolu [dëgar] ba mel ni xeer mbaa lu ko gën a tar wawaay; Ndàx ci xeer sàx ndox da na ca ball, te àm na ci xeer yi yu'y xar ndox génn ca, àm na ci yu'y rot ngìr ragal Yàlla. Te Yàlla du ñàkk a seetlu li ngéen di def.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
552,"Katmandou moy péeyu ban réw?
","Katmandou moy péeyu réwum Népal
",Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
553,Fann mooy gëblag réewum Serbie?,Belgrade.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
554,"Beqil ma mbind mii:
Jàngoroo nekk ci seeni xol (gog sikki-sàkk ak ug naaféq), faf Yàlla yokk leen jàngoro. Mbugal mu metti dana leen dal ngir seenug weddi.","Mbind mi jub a ngi nii:
Jàngoroo nekk ci séen i xol (gog sikki-sàkka ak ug naaféq), faf Yàlla yokk léen jàngoro. Mbugal mu metti da na léen dàl ngìr séenug weddi.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
555,"Ci gan kembaar la réewum Saint-Marin nekk
",Réewum Saint-Marin mu ngi nekk ci kembaaru Europe,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
556,Bismillaah barkeep seriñ bi.,"Imaamul Qazaali andi Na Si an téreem ne kuñuy wax Haatimal Asamm di dongaab Shaqiiq Al Balqii  dafkoo masa laaj niko,waa hatim 30ans mingi nii Yangi andak man,ana loosi jëlee?muneko jëlee naasi 8 mbir yoo xamni samak sell ak samak mucc Si laako yaakaar.",Wolof,wol,original-annotations,40bf9dff73a8546bdb708a6864a264284e6279b06630b30a46c27f5d20f3f168
557,"Fan moy péeyum réwum Kenya
",Péeyum réwum Kenya mu ngi tudu Nairobi,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
558,"Bruxelles mooy péeyu man réew ?
","Bruxelles mooy gëblag réewum Belgique.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
559,Lan mooy jar-jari Usmaan Sonko ?,"Li tax ñu bari xam Usmaan Sonko tey, mooy tuuma yi mu yëkkati ci atum 2016 teg leen ci kow Maki Sàll ak rakkam Aliyu Sàll. Booba la kor Maky Sall dàq ci Impot et Domaine taafantoo ne kilifa gu tollu ni Sonko daa war ni muut mbaa mu ni mott. Niñ ko dàqe noonu ci liggéeyam, dafa gën a njaxlafloo Sonko, mu mel ni fitt guñ sànni te kenn mënatu koo tëye. Ñaari at rekk lañ ci teg mu génneb téere, tudde ko Pétrole et gaz au Sénégal chronique d’une spoliation, di ci fésal ni nguur giy jalgatee sunu alal ak it ni ñu leen di gere ci anam gu jéggi dayo, réew miy ñàkk ay milyaar.",Wolof,wol,original-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
560,Ci gann kembaar le réewum Peru nekk ?,Réewum Peru moo ngi nekk ci kembaru Amerique.,Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
561,"Ci gan kembaar la réewum Finlande nékk?
",Réewum Finlande mu ngi nékk ci kembaaru Europe.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
562,"Jox ma péeteg waat yi ci kàddu gii: Noo ngi jégglu ci kàddu yi, màg ji.","Waat yi nekk ci kàddu gii di ""Noo ngi jégglu ci kàddu yi, màg ji."" ak séen i péete ñoo di:
Noo: PRON
ngi: AUX
jégglu: VERB
ci: ADP
kàddu: NOUN
yi: DET
,: PUNCT
màg: NOUN
ji: DET
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
563,Lan mooy mébétu Usmaan Sonko njiitu pasteef ?,"Usmaan Sonko nëbbu ko kenn : mébétam mooy jot ci réewum Senegaal ci guddig dibéeru 24 féwaryee 2019, wuutu Maki Sàll.",Wolof,wol,original-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
564,Lan la # di jariñ ci mbaali jokkoo yi (R.S.) ?,Aw màndarga la nguir feusseul mbir,Wolof,wol,re-annotations,62a4f3a1be3800b59082b21403b55f1173fb8c74f752cd9d1adfabffd473cbee
565,"Ci ban kembaar la réwum Viêt Nam nékk
",Réwum Viêt Nam mu ngi nékk ci kembaar bi ñuy wakh Asie,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
566,Fewrie,February	,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
567,"Fan mooy gëblag réewum Cuba.
",Gëblag réewum Cuba mu ngi tudd La Havane.,Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
568,Indil ma loy i Wolof yi,"Ñoo ngii: a, à, ã, b, c, d, e, ẽ, é, ë, f, g, h, i, ì, ĩ, j, k, l, m, n, ŋ, ñ, o, ó, õ, p, q, r, s, t, u, ù, ũ, w, x, y",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
569,"N'Djamena mooy péeyu bann réew?
","N'Djamena mooy péeyu réewum Tchad
",Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
570,Làn moo'y safaan u teg?,Safaan u bon moo'y teggi.,Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
571,Kan moo jite DDD ?,Ousmane Sylla,Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
572,Kàn moo nekkoon Yallay jant bi ca Masire (Esipt) gu njëkk nga ?,Raa,Wolof,wol,re-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
573,"Ndàx man ngaa jubbanti mbind mii?
[Fàttalikuleen], ba Nu wóllaranteek (Banii-Israayiil) ne leen: buleen jaamu kenn ku dul Yàlla, te nangeen rafetal seeni jëf jëme ci seeni ñaari waajur, seeni jegeñaale, jirim yi, way-ñàkk ñi, te ngeen waxal nit ñi wax ju rafet; ngeen fonk julli te génne asaka, ba noppi ngeen dummóoyu! - Ba mu des ñu néew ci yéen, ngeen di way-dëddu [lu baax].","Waaw! Mi ngii:
[Fàttlikuléen], ba Nu wóllarantee'k (Banii-Israayiil) ne léen: buléen jaamu kenn ku dul Yàlla, te na ngéen rafetal séen i jëf jëme ci séen i ñaar i waajur, séen i jegeñaale, jirim yi, wayñàkk ñi, te ngéen wàxal nit ñi wàx ju rafet; ngéen fonk julli te génne àsaka, ba noppi ngéen dummooyu! - Ba mu des ñu néew ci yéen, ngéen di waydëddu [lu baax].",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
574,Kàñ la Bàlla Gay 2 nekkoon bùur u mbër yi ?,"22 awril 2012. Gànnaaw ba mu daanee Yekini.
Fekk na boo ba Yekini tëyewoon lenge yi 12 àt.

Bàlla Gay 2 moo ngi ko'y noppee nekk 8 suwĩ 2014, bi ko Bombarje daanee.",Wolof,wol,re-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
575,"Phnom Penh mooy gëblag man réew ?
","Phnom Penh mooy gëblag réewum Cambodge.
",Wolof,wol,re-annotations,ab1a15be2f996dcae05d4f4e7c1499086fa709d5b25243eb80a600ec61bf1d4e
576,"Fan moy péeyum réwum Equateur
",Péeyum réwum Equateur mu ngi tudu Quito,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
577,"Fan mooy gëblag  réewum Saint-Marin?
","Gëblag réewum Saint-Marin mu ngi tudu Saint-Marin.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
578,Lim'al ma ñinti xéett yi eup doolé senegaal,"wolof yi ci tèmèr yo djël ñint fukk ak ñétt yi ay wolof la ñu
Halpullar yi ci tèmèr yo djël ñaar fukk ak ñintt yi ay halpullar la ñu
Serrere yi ci tèmèr yo djël fukk ak diurom yi ay serreres la ñu
wolof yi ci tèmèr yo djël ñint yi ay wolof la ñu",Wolof,wol,re-annotations,5dd72f79339c0e053085bf742a0ce2de4f9453af07df5a4a8672226327d7694e
579,Joxeel péeteeg waat yi ci kàddu gii: Déwenatiléen ak Saajo Maane!,"Waat yi nekk ci kàddu gii di ""Déwenatiléen ak Saajo Maane!"" ak séen i péete:
Déwenatiléen: VERB
ak: ADP
Saajo: PROPN
Maane: PROPN
!: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
580,"Ndàx mbind mii jub na?
[Fàttalikuleen], ba Nu leen musalee ci waa kër (Firawna), tegoon nañu leen mbugal mu ñaaw: ñuy rendi seeni doom yu góor ya, di bàyyi ñu jigéen ña. Nekkoon na ci loolu nattu bu réy bu bawoo ca seen Boroom.","Déedet; jubul cocc ba coset. Mbeqi ma a ngii:
[Fàttlikuléen], ba Nu léen musalee ci waakër (Firawna), tegoon na ñu léen mbugal mu ñaaw: ñu'y rendi séen i doom yu góor ya, di bàyyi ñu jigeen ña. Nekkoon na ci loolu nattu bu rëy bu bawoo ca séen Boroom.",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
581,Indil péeteg waat yi ci kàddu gii: Xeet u jàmbat la'y niru.,"Waat yi nekk ci kàddu gii di ""Xeet u jàmbat la'y niru."" ak séen i péete ñoo di:
Xeet: NOUN
u: ADP
jàmbat: NOUN
la: AUX
'y: AUX
niru: ADJ
.: PUNCT",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
582,"Fan moy péeyum réwum Brésil
",Péeyum réwum Brésil mu ngi tudu Brasilia,Wolof,wol,original-annotations,06e00a8261232c1c486345a19cb7165407b528d8674c17bf1dd8981781bf5fa3
583,"Beqil ma mbind mii:
Moo ndax da ngeen di digal nit ñi li baax, fàtte seen bopp, te yéen jàng ngeen Téere ba? Moo ndax dangeen dul xel-lu?","Mbind mi jub a ngi nii:
Moo ndàx da ngéen di digal nit ñi li baax, fàtte séen bopp, te yéen jàng ngéen Téere ba? Moo ndàx da ngéen dul xellu?",Wolof,wol,original-annotations,0c6aa8c3d25553a4c26c9dcd82bce16fda710f035ac76ef8aaa655cdb56f6ca6
584,"Caracas mooy gëblag man réew?
","Caracas mooy gëblag réewum Venezuela.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
585,"Fan mooy gëblag réewum Italie?
","Gëblag réewum Italie mu ngi tudu Rome.
",Wolof,wol,re-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
586,Wan doj moo gën a kawe ci tolluwaayu géej gi ?,Doju Ewerset.,Wolof,wol,original-annotations,336111fda4a1729e1f46570bd49d49017a7cbc51e9ad93c41251e4a428a38694
